No,Date,When,Position,Company,Min Exp,Max Exp,Skills
1,14/03/22,30,Data Management Executive,Special Work & Technology Limited,3,5,"Data Cleansing, Analytical Skills, English, MS SQL, VLOOKUP, Standardization, Written Communication, Data Management Executive, Data Enrichment, Microsoft Excel"
2,14/03/22,30,Analyst,IDS-Argus Healthcare Services ,2,5,"English, Pivot Table, Listening Skills, Vlookup, Analytical, Associate, Night Shift, Microsoft Excel, Information Analyst"
3,14/03/22,30,Online Bidder,Webspin Technologies,1,4,"Online Marketing, Marketing Online, Online Sales, Odesk, Business, Business Devlopment, Web Development, Portal, Sales It, Elance"
4,14/03/22,26,Business Analyst,Carbyne Tech India,8,12,"Product Strategy, C#, Product Implementation, Business Analyst, Product Roadmap, .Net, SQL"
5,14/03/22,30,"Sr, Business Analyst",Seven Consultancy,3,6,"Customer Acquisition, Statistical Modeling, Google Analytics, Data Management, Business Analyst, Business Analysis, Analytical, Data Analyst, Data Analytics, Python"
6,14/03/22,30,Business Analyst,Experionglobal,3,5,"Business Process, Manaual Testing, PDF, Database Management, Analytical, Workflow, Test Cases, Manager Quality Control, User Acceptance Testing, Operations"
7,14/03/22,10,Property,Novel Office,0,3,"Night Shift, Analytics, Business Research, Operations, Business Analyst, Analysis, Real Estate,  Business Analysis, Market Research, Us Process, Competitive Intelligence, Property Management"
8,14/03/22,30,IT Business Analyst,LinuxBean Solution,0,2,"IT Business Analyst, Negotiation, Bidding, Sales, Sales Lead Generation, Client Coordination, Written Communication, Software Sales, Comm, Business Executive"
9,14/03/22,30,Customer Support,RSN Infotech,4,8,"Product, Operations, Automation, Product Management, Development, Design, Analysis, Customer Support "
10,14/03/22,30,Business Analyst,Brandmuscle,3,6,"Product Management, Business Analysis, Analytical, Agile, Workflow, HTML, JIRA, Testing, Sql,  Software Project Management"
11,14/03/22,30,Business Analyst,Convergence IT Services,2,7,"Business Process, Excel, Test Scripts, Business Analyst, Test Scenarios, MS Word, Management, Information Technology, Testing"
